company,ac_favorite,ac_forward,ac_twenum,en_favorite_before,en_forward_before,en_twenum_before,en_favorite_after,en_forward_after,en_twenum_after,favorite_before,forward_before,twenum_before,favorite_after,forward_after,twenum_after,en_favorite,en_forward,en_twenum,favorite,forward,twenum,acc.owner,founded_on_year,seed_year,teamsize,co,total_funding_usd
publicstuff,5,28,67,0,1,6,22,23,110,0,0,2,9,8,101,22,22,104,9,8,98,er-accelerator,2009,2011,2,20,6552136
buildzoom,2732,3354,494,0,0,0,11,5,106,0,0,5,1,0,0,11,5,106,1,0,0,y-combinator,2012,2012,2,747,3563000
switchboard,326,834,1080,7,3,22,175,57,128.5,10,4,42,98,4,114,168,54,106.5,88,0,18,pie,2012,2013,2,30,1120000
launchgram,3,65,90,0,0,0,27.5,14,113.5,0,0,0,12,0,87,27.5,14,113.5,12,0,79,10xelerator,2012,2012,2,19,70000
cloudmine,79,328,408,0,1,17,9.5,29,138,0,11,5,8,22,71,9.5,28,121,8,11,66,dreamit-ventures,2011,2011,4,139,9863378
amicus,1331,1692,296,0,0,0,60,130,125,6,21,53,12,86,12,60,130,125,6,65,7,y-combinator,2011,2012,1,747,3780000
bufferbox,4270,5578,860,0,14,122,60,38,248,2,14,56,13,14,34,60,24,126,11,0,26,y-combinator,2011,2012,1,747,1000000
bufferbox,4270,5578,860,0,14,122,60,38,248,2,14,56,11,25,34,60,24,126,9,11,26,y-combinator,2011,2012,1,747,1000000
subblime,49,212,146,1,0,4,119,77,137,0,0,0,124,32,137,118,77,133,124,32,21,muckercapital,2012,2013,2,27,700000
thinkcerca,17,151,207,7,9,35,38,42,169,0,0,2,4,0,4,31,33,134,4,0,3,the-impact-engine,2012,2012,1,8,4700000
movity-com,443,482,138,0,0,0,15,19,148,2,2,15,6,10,0,15,19,148,4,8,0,y-combinator,2009,2010,1,747,1300000
inaa-com-ltd,87,390,1241,0,0,0,37,23,163,0,0,0,41,21,163,37,23,163,41,21,128,startuphighway,2010,2013,1,14,0
tellagence,3,68,100,0,0,0,46,32,212,0,0,0,10,18,12,46,32,212,10,18,3,portland-seed-fund,2012,2012,1,23,25000
sourceasy,10100,9959,669,9,2,17,206.5,50,425,8,14,14,6,14,4,197.5,48,408,-2,0,4,500-startups,2013,2014,2,267,1778000
